Date,EmployeeName,Plan,PolicyNumber,Premium
05.01.2023,John Doe,Gold Plan,AB-12345,150.0
05.02.2023,Jane Smith,Silver Plan,CD-67890,100.0
05.03.2023,Michael Brown,Bronze Plan,EF-10111,50.0
05.04.2023,Alice Johnson,Gold Plan,GH-12121,150.0
05.05.2023,Bob Wilson,Silver Plan,IJ-13131,100.0
05.06.2023,Carol Martinez,Bronze Plan,KL-14141,50.0
05.07.2023,David Anderson,Gold Plan,MN-15151,150.0
05.08.2023,Eva Thomas,Silver Plan,OP-16161,100.0
05.09.2023,Frank Jackson,Bronze Plan,QR-17171,50.0
05.10.2023,Grace White,Gold Plan,ST-18181,150.0
01.05.2023,John Doe,Gold,GoldPackage,AB12345
02.05.2023,Jane Smith,Silver,SilverPackage,CD67890
03.05.2023,Michael Brown,Bronze,BronzePackage,EF10111
04.05.2023,Alice Johnson,Gold,GoldPackage,GH12121
05.05.2023,Bob Wilson,Silver,SilverPackage,IJ13131
06.05.2023,Carol Martinez,Bronze,BronzePackage,KL14141
07.05.2023,David Anderson,Gold,GoldPackage,MN15151
08.05.2023,Eva Thomas,Silver,SilverPackage,OP16161
09.05.2023,Frank Jackson,Bronze,BronzePackage,QR17171
10.05.2023,Grace White,Gold,GoldPackage,ST18181
